sport,game_id,date_utc,status,league_id,league,season,home_team_id,home_team,away_team_id,away_team,home_score,away_score
baseball,153533,2024-04-20T22:10:00Z,FT,1,MLB,2024,9,Cleveland Guardians,26,Oakland Athletics,6,3
baseball,153539,2024-04-20T22:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,17,Los Angeles Angels,7,5
baseball,153540,2024-04-20T23:10:00Z,FT,1,MLB,2024,16,Kansas City Royals,4,Baltimore Orioles,7,9
baseball,153541,2024-04-20T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,35,Texas Rangers,5,2
baseball,153512,2024-04-20T23:40:00Z,FT,1,MLB,2024,6,Chicago Cubs,19,Miami Marlins,5,3
baseball,153542,2024-04-21T00:10:00Z,FT,1,MLB,2024,10,Colorado Rockies,32,Seattle Mariners,0,7
baseball,153543,2024-04-21T00:40:00Z,FT,1,MLB,2024,30,San Diego Padres,36,Toronto Blue Jays,2,5
baseball,153545,2024-04-21T17:35:00Z,FT,1,MLB,2024,25,New York Yankees,34,Tampa Bay Rays,5,4
baseball,153546,2024-04-21T17:35:00Z,FT,1,MLB,2024,27,Philadelphia Phillies,7,Chicago White Sox,8,2
baseball,153547,2024-04-21T17:35:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,5,Boston Red Sox,1,6
baseball,153548,2024-04-21T17:35:00Z,FT,1,MLB,2024,37,Washington Nationals,15,Houston Astros,6,0
baseball,153549,2024-04-21T17:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,17,Los Angeles Angels,3,0
baseball,153555,2024-04-21T17:40:00Z,FT,1,MLB,2024,9,Cleveland Guardians,26,Oakland Athletics,6,2
baseball,153550,2024-04-21T18:10:00Z,FT,1,MLB,2024,16,Kansas City Royals,4,Baltimore Orioles,0,5
baseball,153551,2024-04-21T18:10:00Z,FT,1,MLB,2024,22,Minnesota Twins,12,Detroit Tigers,1,6
baseball,153552,2024-04-21T18:15:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,20,Milwaukee Brewers,0,2
baseball,153553,2024-04-21T18:20:00Z,FT,1,MLB,2024,6,Chicago Cubs,19,Miami Marlins,3,6
baseball,153554,2024-04-21T19:10:00Z,FT,1,MLB,2024,10,Colorado Rockies,32,Seattle Mariners,2,1
baseball,153556,2024-04-21T20:05:00Z,FT,1,MLB,2024,31,San Francisco Giants,2,Arizona Diamondbacks,3,5
baseball,153557,2024-04-21T20:10:00Z,FT,1,MLB,2024,18,Los Angeles Dodgers,24,New York Mets,10,0
baseball,153558,2024-04-21T20:10:00Z,FT,1,MLB,2024,30,San Diego Padres,36,Toronto Blue Jays,6,3
baseball,153544,2024-04-21T23:10:00Z,FT,1,MLB,2024,3,Atlanta Braves,35,Texas Rangers,4,6
baseball,153525,2024-04-22T00:10:00Z,FT,1,MLB,2024,10,Colorado Rockies,32,Seattle Mariners,2,10
baseball,153559,2024-04-22T17:05:00Z,FT,1,MLB,2024,25,New York Yankees,26,Oakland Athletics,0,2
baseball,153560,2024-04-22T22:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,27,Philadelphia Phillies,0,7
baseball,153561,2024-04-22T22:40:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,20,Milwaukee Brewers,4,2
baseball,153562,2024-04-22T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,12,Detroit Tigers,1,7
baseball,153563,2024-04-22T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,19,Miami Marlins,3,0
baseball,153564,2024-04-22T23:40:00Z,FT,1,MLB,2024,16,Kansas City Royals,36,Toronto Blue Jays,3,5
baseball,153565,2024-04-22T23:40:00Z,FT,1,MLB,2024,22,Minnesota Twins,7,Chicago White Sox,7,0
baseball,153566,2024-04-22T23:45:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,2,Arizona Diamondbacks,5,3
baseball,153567,2024-04-23T00:40:00Z,FT,1,MLB,2024,10,Colorado Rockies,30,San Diego Padres,1,3
baseball,153568,2024-04-23T01:38:00Z,FT,1,MLB,2024,17,Los Angeles Angels,4,Baltimore Orioles,2,4
baseball,153569,2024-04-23T01:45:00Z,FT,1,MLB,2024,31,San Francisco Giants,24,New York Mets,5,2
baseball,153570,2024-04-23T22:10:00Z,FT,1,MLB,2024,9,Cleveland Guardians,5,Boston Red Sox,4,1
baseball,153571,2024-04-23T22:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,27,Philadelphia Phillies,8,1
baseball,153572,2024-04-23T22:40:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,20,Milwaukee Brewers,2,1
baseball,153573,2024-04-23T22:45:00Z,FT,1,MLB,2024,37,Washington Nationals,18,Los Angeles Dodgers,1,4
baseball,153574,2024-04-23T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,12,Detroit Tigers,2,4
baseball,153575,2024-04-23T23:05:00Z,FT,1,MLB,2024,25,New York Yankees,26,Oakland Athletics,4,3
baseball,153576,2024-04-23T23:20:00Z,FT,1,MLB,2024,3,Atlanta Braves,19,Miami Marlins,5,0
baseball,153577,2024-04-23T23:40:00Z,FT,1,MLB,2024,6,Chicago Cubs,15,Houston Astros,7,2
baseball,153578,2024-04-23T23:40:00Z,FT,1,MLB,2024,16,Kansas City Royals,36,Toronto Blue Jays,3,2
baseball,153579,2024-04-23T23:40:00Z,FT,1,MLB,2024,22,Minnesota Twins,7,Chicago White Sox,6,5
baseball,153580,2024-04-23T23:45:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,2,Arizona Diamondbacks,1,14
baseball,153581,2024-04-24T00:05:00Z,FT,1,MLB,2024,35,Texas Rangers,32,Seattle Mariners,0,4
baseball,153582,2024-04-24T00:40:00Z,FT,1,MLB,2024,10,Colorado Rockies,30,San Diego Padres,7,4
baseball,153583,2024-04-24T01:38:00Z,FT,1,MLB,2024,17,Los Angeles Angels,4,Baltimore Orioles,7,4
baseball,153584,2024-04-24T01:45:00Z,FT,1,MLB,2024,31,San Francisco Giants,24,New York Mets,5,1
baseball,153585,2024-04-24T17:15:00Z,FT,1,MLB,2024,33,St.Louis Cardinals,2,Arizona Diamondbacks,5,1
baseball,153586,2024-04-24T19:45:00Z,FT,1,MLB,2024,31,San Francisco Giants,24,New York Mets,2,8
baseball,153588,2024-04-24T20:07:00Z,FT,1,MLB,2024,17,Los Angeles Angels,4,Baltimore Orioles,5,6
baseball,153587,2024-04-24T22:10:00Z,FT,1,MLB,2024,9,Cleveland Guardians,5,Boston Red Sox,0,8
baseball,153589,2024-04-24T22:40:00Z,FT,1,MLB,2024,28,Pittsburgh Pirates,20,Milwaukee Brewers,2,3
baseball,153590,2024-04-24T22:40:00Z,FT,1,MLB,2024,8,Cincinnati Reds,27,Philadelphia Phillies,7,4
baseball,153591,2024-04-24T22:45:00Z,FT,1,MLB,2024,37,Washington Nationals,18,Los Angeles Dodgers,2,11
baseball,153592,2024-04-24T22:50:00Z,FT,1,MLB,2024,34,Tampa Bay Rays,12,Detroit Tigers,7,5
